date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:03	19062/19062	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:13%20GMT	https://preview.colorlib.com/theme/interior2/index.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/index.html	(from )
17:24:04	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
17:24:04	1303/1303	---M--	200	added ('OK')	image/png	etag:%22517-5992d6ffd42c0%22	https://preview.colorlib.com/theme/interior2/img/favicon.png	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/img/favicon.png	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:05	40634/40634	---M-Z	200	added ('OK')	text/css	etag:%229eba-5c1f9cce6039d-gzip%22	https://preview.colorlib.com/theme/interior2/css/bootstrap.min.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:05	2909/2909	---M-Z	200	added ('OK')	text/css	etag:%22b5d-5c1f9cce6133d-gzip%22	https://preview.colorlib.com/theme/interior2/css/owl.carousel.min.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:05	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9cce6133d-gzip%22	https://preview.colorlib.com/theme/interior2/css/magnific-popup.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/magnific-popup.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:05	2644/2644	---M-Z	200	added ('OK')	text/css	etag:%22a54-5c1f9cce6133d-gzip%22	https://preview.colorlib.com/theme/interior2/css/font-awesome.min.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:06	1068/1068	---M-Z	200	added ('OK')	text/css	etag:%2242c-5c1f9cce622dd-gzip%22	https://preview.colorlib.com/theme/interior2/css/themify-icons.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/themify-icons.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:06	3513/3513	---M-Z	200	added ('OK')	text/css	etag:%22db9-5c1f9cce6133d-gzip%22	https://preview.colorlib.com/theme/interior2/css/nice-select.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/nice-select.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:07	927/927	---M-Z	200	added ('OK')	text/css	etag:%2239f-5c1f9cce6133d-gzip%22	https://preview.colorlib.com/theme/interior2/css/flaticon.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/flaticon.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:07	55532/55532	---M-Z	200	added ('OK')	text/css	etag:%22d8ec-5c1f9cce6133d-gzip%22	https://preview.colorlib.com/theme/interior2/css/gijgo.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/gijgo.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:08	55524/55524	---M-Z	200	added ('OK')	text/css	etag:%22d8e4-5c1f9cce6039d-gzip%22	https://preview.colorlib.com/theme/interior2/css/animate.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/animate.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:09	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5c1f9cce6133d-gzip%22	https://preview.colorlib.com/theme/interior2/css/slick.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/slick.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:10	2506/2506	---M-Z	200	added ('OK')	text/css	etag:%229ca-5c220b7817a9d-gzip%22	https://preview.colorlib.com/theme/interior2/css/slicknav.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/slicknav.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:11	35212/35212	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css	C:/Users/User/Desktop/Downloads/RCW/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:11	188412/188412	---M-Z	200	added ('OK')	text/css	etag:%222dffc-5c1f9cce622dd-gzip%22	https://preview.colorlib.com/theme/interior2/css/style.css	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/css/style.css	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:11	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2008%20Jan%202024%2013:24:11%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:11	1303/1303	---M--	200	added ('OK')	image/png	etag:%22517-5992d701bc740%22	https://preview.colorlib.com/theme/interior2/img/logo.png	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/img/logo.png	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:12	13404/13404	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:14%20GMT	https://preview.colorlib.com/theme/interior2/Projects.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/Projects.html	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:12	14345/14345	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:07%20GMT	https://preview.colorlib.com/theme/interior2/about.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/about.html	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:12	14634/14634	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:13%20GMT	https://preview.colorlib.com/theme/interior2/project_details.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/project_details.html	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:13	31966/31966	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:11%20GMT	https://preview.colorlib.com/theme/interior2/elements.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/elements.html	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:13	16428/16428	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:09%20GMT	https://preview.colorlib.com/theme/interior2/blog.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/blog.html	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:13	18970/18970	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:14%20GMT	https://preview.colorlib.com/theme/interior2/single-blog.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/single-blog.html	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:13	12786/12786	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2008:54:10%20GMT	https://preview.colorlib.com/theme/interior2/contact.html	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/contact.html	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:14	594677/594677	---M--	200	added ('OK')	image/png	etag:%22912f5-5992d7fe75b80%22	https://preview.colorlib.com/theme/interior2/img/works/1.png	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/img/works/1.png	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:14	560714/560714	---M--	200	added ('OK')	image/png	etag:%2288e4a-5992d7fe75b80%22	https://preview.colorlib.com/theme/interior2/img/works/2.png	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/img/works/2.png	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:15	565817/565817	---M--	200	added ('OK')	image/png	etag:%228a239-5992d80152240%22	https://preview.colorlib.com/theme/interior2/img/works/3.png	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/img/works/3.png	(from https://preview.colorlib.com/theme/interior2/index.html)
17:24:15	390346/390346	---M--	200	added ('OK')	image/png	etag:%225f4ca-5992d8005e000%22	https://preview.colorlib.com/theme/interior2/img/works/4.png	C:/Users/User/Desktop/Downloads/RCW/preview.colorlib.com/theme/interior2/img/works/4.png	(from https://preview.colorlib.com/theme/interior2/index.html)
